,Year,State,Coal,Geothermal,Hydroelectric,Natural Gas,Nuclear,Other,Other Gases,Petroleum,Solar Thermal/PV,Total,Wind,Biomass
214,1994,GA,65698752,0,4331435,633951,28927090,0,0,998279,0,104356409,0,3188446
215,1994,HI,1326742,185318,139426,0,0,0,65719,7640913,0,10108902,20350,730434
216,1994,IA,27450892,0,1071023,376485,4107383,0,0,101790,0,33167006,53,59380
217,1994,ID,38038,0,7916153,159061,0,85138,0,65,0,8726797,0,528342
218,1994,IL,62998413,0,120633,3733054,72654499,0,259174,1243456,0,141299295,0,290066
219,1994,IN,102921426,0,406867,1509171,0,0,1941518,366082,0,107182057,0,36993
220,1994,KS,26488755,0,9854,2503605,8529002,0,0,88598,0,37619869,55,0
221,1994,KY,79897442,0,4013590,31183,0,0,0,154819,0,84097034,0,0
222,1994,LA,20163412,0,971978,38511585,12778635,677566,1335124,2320393,0,79385961,0,2627268
223,1994,MA,10320147,0,937917,11319676,3858569,0,0,10098641,0,37939064,0,2050210
224,1994,MD,25624758,0,2009536,1172042,11235408,0,501762,4275226,0,45339618,0,520886
225,1994,ME,676920,0,3510767,9267,6631984,0,3928,1872338,0,16456150,0,3750946
226,1994,MI,69771616,0,1660268,10436549,14144281,15307,4634,825523,0,98307389,0,2260274
227,1994,MN,28125703,0,1138733,656857,12223620,0,0,607700,0,43897655,39523,1105519
228,1994,MO,48885619,0,1916293,389302,10006491,0,0,745215,0,61877678,0,6915
229,1994,MS,8946974,0,0,7223384,9614699,0,0,1124155,0,28670498,0,1761286
230,1994,MT,16809389,0,8149507,73226,0,0,0,20122,0,25152849,0,100605
231,1994,NC,58124390,0,7192276,310242,32346007,260777,0,452234,0,100828662,0,1761917
232,1994,ND,27181087,0,1856461,55,0,0,43779,60860,0,29155825,0,13583
233,1994,NE,14039467,0,1311883,258918,6345330,0,0,18201,0,21983131,0,9332
234,1994,NH,3181654,0,1461327,114587,6203747,0,0,1420578,0,13462499,0,1080606
235,1994,NJ,5672211,0,15083,17191828,22129335,0,101509,2356728,0,48435342,0,1135382
236,1994,NM,26752349,0,212890,3388937,0,0,0,25696,0,30390674,0,10802
237,1994,NV,15324714,1494930,1875889,5629626,0,24888,0,167680,0,24517727,0,0
238,1994,NY,23290656,0,27791257,32229929,29231434,0,94206,12030378,0,126029572,0,2507556
239,1994,OH,119169558,0,191771,371591,10952247,0,144300,424488,0,131763610,0,509655
240,1994,OK,30500847,0,2514648,16708882,0,0,70396,42621,0,50058772,0,271391
241,1994,OR,3833470,0,31220298,2835884,0,0,0,7296,0,38440812,0,543864
242,1994,PA,101867590,0,2749785,4079764,67206815,82723,972163,5824309,0,184078701,0,2138621
243,1994,RI,0,0,9349,4560679,0,0,1862,85347,0,4732920,0,75683
244,1994,SC,27741115,0,3034952,363700,44466176,4794,17368,240744,0,76942522,0,1694529
245,1994,SD,2833332,0,5128760,8437,0,0,0,20731,0,7991260,0,0
